WaferID: N5GM12.16 (Step 10 to Step 16)
     ,  BasisFunction1,  BasisFunction1,  (nFringes*1000),  (nFringes*1000),  Endpoint Time (sec),  Endpoint Time (sec),  Delay Time (sec),  Delay Time (sec),  Normalization Time (sec),  Normalization Time (sec), 
     ,  Time (sec),  Value,  Time (sec),  Value,  Time (sec),  Value,  Time (sec),  Value,  Time (sec),  Value, 
 1,  0.100,  265646.00,  0.100,  0.000000e+000,  0.000,  0.000000e+000,  0.000,  1.000000,  0.000,  2.000000, 
 2,  0.200,  265646.00,  0.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 3,  0.300,  265646.00,  0.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 4,  0.400,  265646.00,  0.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 5,  0.500,  265310.75,  0.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 6,  0.600,  265224.81,  0.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 7,  0.700,  265540.16,  0.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 8,  0.800,  265813.16,  0.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 9,  0.900,  265835.00,  0.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 10,  1.000,  265850.00,  1.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 11,  1.100,  265870.09,  1.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 12,  1.200,  265808.81,  1.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 13,  1.300,  265867.91,  1.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 14,  1.400,  265939.53,  1.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 15,  1.500,  265825.19,  1.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 16,  1.600,  265813.47,  1.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 17,  1.700,  265926.53,  1.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 18,  1.800,  265873.81,  1.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 19,  1.900,  265703.00,  1.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 20,  2.000,  265693.38,  2.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 21,  2.100,  265902.91,  2.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 22,  2.200,  265743.09,  2.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 23,  2.300,  265826.47,  2.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 24,  2.400,  265591.28,  2.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 25,  2.500,  265452.09,  2.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 26,  2.600,  265705.09,  2.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 27,  2.700,  265866.63,  2.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 28,  2.800,  265522.00,  2.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 29,  2.900,  265382.91,  2.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 30,  3.000,  265443.47,  3.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 31,  3.100,  265401.72,  3.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 32,  3.200,  265137.53,  3.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 33,  3.300,  265084.63,  3.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 34,  3.400,  264990.28,  3.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 35,  3.500,  265040.19,  3.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 36,  3.600,  264886.09,  3.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 37,  3.700,  264466.63,  3.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 38,  3.800,  264369.09,  3.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 39,  3.900,  264393.63,  3.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 40,  4.000,  264326.28,  4.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 41,  4.100,  264119.53,  4.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 42,  4.200,  263976.09,  4.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 43,  4.300,  263708.81,  4.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 44,  4.400,  263827.47,  4.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 45,  4.500,  263406.19,  4.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 46,  4.600,  263221.09,  4.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 47,  4.700,  263284.28,  4.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 48,  4.800,  263643.81,  4.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 49,  4.900,  263513.09,  4.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 50,  5.000,  263576.00,  5.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
